,h,t,r,type,newEntities,pair_c
7231,Q29652910,Q318204,Color of,KG,,default
7232,Q3282752,Q1325589,'s Off is,KG,,default
7233,Q3282752,Q595,'s Off is,KG,,default
7234,Q3282752,Q470916,'s Off is,KG,,default
7235,Q3282752,Q20089978,'s Off is,KG,,default
7236,Q3282752,Q29652910,has,KG,,default
7237,Q1204,2009,is in,Open_KG,tail_,default
7238,Q3072120,2009,instituting law in,Open_KG,tail_,default
7239,Q11424,Q1297,is with,KG,,default
7240,Q154958,Q172,founder of,KG,,default
7241,Cinespace Studios,Q172,is in,Open_KG,head_,default
7242,two,Q739302,chose,Open_KG,head_,default
7243,two,Q739302,collaborate on,Open_KG,head_,default
7244,Q739302,Q1297,is in,KG,,default
7245,Q81292,Q123705,is in,KG,,default
7246,Q56474015,Q65,studio outside,KG,,default
7247,Q14083,film related spending,is in,Open_KG,tail_,default
7248,Q550381,Q1187416,’s,KG,,default
7249,Q1297,Q7443264,of Years is,KG,,default
7250,Q49617,Q726929,Federation of,KG,,default
7251,Q128861,Q673627,is regional branch of,KG,,default
7252,Q128861,Q56474015,is regional,KG,,default
7253,Q379825,Q178706,are,KG,,default
7254,Q214339,Q4338318,is in,KG,,default
7255,Q5375780,1996,is in,Open_KG,tail_,default
7256,Q1435,Q458,is in,KG,,default
7257,Cineteca Nazionale,Q518155,Archives of,Open_KG,head_,default
7258,Q458,Q11424,has,KG,,default
7259,Cineteca Nazionale,Q123397,Cinematheque of,Open_KG,head_,default
7260,Q167457,Q458,Treaty on,KG,,default
7261,Q458,Q11424,has,KG,,default
7262,Q18606759,Q11033,is in,KG,,default
7263,Q133500,Q190109,is in,KG,,default
7264,Q648403,Q369577,Committee for,KG,,default
7265,Q42213,Q5412408,delegated to,KG,,default
7266,Q170584,Q5268834,is co-funded by,KG,,default
7267,ABCinema,Q166118,is joint,Open_KG,head_,default
7268,Q830382,Q3875179,organisations,KG,,default
7269,On,Q28228,is,Open_KG,head_,default
7270,Q211236,Q37073,Smith,KG,,default
7271,Q211236,Q37073,Garman,KG,,default
7272,Q23387,Q211236,has,KG,,default
7273,Q2085488,Q181417,was frequent,KG,,default
7274,Q181417,Q53858110,on guest is,KG,,default
7275,Q2085488,Q11635,recording Hollywood Babble On at,KG,,default
7276,Q53858110,Q7743,has,KG,,default
7277,Q383675,let,being,Open_KG,tail_,default
7278,Q34006,Q853614,is in,KG,,default
7279,Q357984,Q478798,has,KG,,default
7280,Q1458168,Q5,Emails from,KG,,default
7281,Q211236,Q20204151,has,KG,,default
7282,Q234610,Q31235,is revealed in,KG,,default
7283,Q234610,Butthole,has,Open_KG,tail_,default
7284,Q1458168,Q271093,recites Green Lantern oath in,KG,,default
7285,Q357984,Q7358,is notoriously afraid of,KG,,default
7286,Q357984,Q7358,is afraid of,KG,,default
7287,Q1458168,Q128518,Entrance of,KG,,default
7288,he,Q3050847,sings,Open_KG,head_,default
7289,Q3050847,Q3055143,is with,KG,,default
7290,Q352,inserted,are,Open_KG,tail_,default
7291,Q352,Q56019,are inserted into,KG,,default
7292,Q352,Q1473699,is in,KG,,default
7293,Q6961497,Q602418,is In,KG,,default
7294,their,Q1458168,names,Open_KG,head_,default
7295,Q13427002,Q17,is in,KG,,default
7296,Q7366,Q7569,themes 's,KG,,default
7297,Q2606509,Q1187071,has,KG,,default
7298,Q1458168,1980s,popular music of,Open_KG,tail_,default
7299,Q1458168,Q7390,sings in,KG,,default
7300,Q357984,Q158940,has,KG,,default
7301,Q3161788,Q44142,is in,KG,,default
7302,Q11424,Q214609,are remakes of,KG,,default
7303,Porgs,Q103076,is in,Open_KG,head_,default
7304,Q103076,Q397,in Porgs is,KG,,default
7305,Q58444,Q607444,has,KG,,default
7306,Q58444,Q607444,has,KG,,default
7307,lead,Q7366,is in,Open_KG,head_,default
7308,Q602418,Q34086,discuss,KG,,default
7309,Q2085488,Q625642,has,KG,,default
7310,Q82794,Q16250945,was filled by,KG,,default
7311,Q42759035,Q42759035,impression of,KG,,default
7312,Q42759035,Q383675,impression 's,KG,,default
7313,Q351156,Q42759035,Wynn as,KG,,default
7314,Q42759035,Q116113,Connery as,KG,,default
7315,Q755070,Q1983062,is in,KG,,default
7316,Q379825,Q1707847,cover,KG,,default
7317,Q32483,Q1983062,is in,KG,,default
7318,Q2085488,Q2695156,has,KG,,default
7319,Q351156,Q3331189,has,KG,,default
7320,Q2481925,Q5148082,has,KG,,default
7321,Q850159,Q526719,Gumm with,KG,,default
7322,Q443585,Q3331189,has,KG,,default
7323,Q5148082,Q526719,is with,KG,,default
7324,Q2695156,Q158553,has,KG,,default
7325,Q1983062,Q28228,is with,KG,,default
7326,1967,Q28228,has,Open_KG,head_,default
7327,Q196627,Q830183,has,KG,,default
7328,Q611993,ten,Issue of,Open_KG,tail_,default
7329,Q202875,Q141488,is with,KG,,default
7330,they,Q202875,were in,Open_KG,head_,default
7331,Q15416,Q121,is In,KG,,default
7332,Q653916,released via BabbleVision in 2017,was,Open_KG,tail_,default
7333,Q11425,Q106526,featuring,KG,,default
7334,Q11425,Q106526,featuring,KG,,default
7335,Q3086955,Q11425,has,KG,,default
7336,Q23577,Q6467254,has,KG,,default
7337,Q3086955,Q11425,has,KG,,default
7338,Q106526,Q3086955,were supervised by,KG,,default
7339,Frederator,Q11425,has,Open_KG,head_,default
7340,Q6871144,Q11425,was,KG,,default
7341,Q1175042,Q3086955,was by,KG,,default
7342,Q170198,Q624802,was,KG,,default
7343,Q651120,Q39561,is in,KG,,default
7344,Q11425,Q36484,is in,KG,,default
7345,Q36484,Q1416835,is with,KG,,default
7346,Q690079,Q1259759,has,KG,,default
7347,Q690079,Q1259759,has,KG,,default
7348,Q690079,2018,'s Mini-Series is,Open_KG,tail_,default
7349,Q17022412,Q11424,is,KG,,default
7350,Q664,Q11424,has,KG,,default
7351,their,Q1796951,nickname,Open_KG,head_,default
7352,Q169452,Q17182571,has,KG,,default
7353,Q6497985,late 2006,began In,Open_KG,tail_,default
7354,Q664,Q6497985,has,KG,,default
7355,Q483042,Q23661,is in,KG,,default
7356,Q369987,Q2322432,arm of,KG,,default
7357,Q153597,Q5897362,has,KG,,default
7358,Q5264606,Q5264606,also known as,KG,,default
7359,Q183,Q240,is in,KG,,default
7360,Q188473,Q1370468,have cost dearly,KG,,default
7361,Q1075,Q18218093,is in,KG,,default
7362,Q1075,Q18218093,is in,KG,,default
7363,Q1075,Q18218093,colours in,KG,,default
7364,Q5281228,Q1745370,use of,KG,,default
7365,Q59653365,1960s,starting in,Open_KG,tail_,default
7366,Q1075,Q11471,are known,KG,,default
7367,Q1075,Q11471,fade in,KG,,default
7368,Q22006653,expensive,is,Open_KG,tail_,default
7369,Desmet,Q190686,With,Open_KG,head_,default
7370,Q1075,Q739302,are,KG,,default
7371,will colour,Q7401,is in,Open_KG,head_,default
7372,Q2630994,Q166902,of levels is,KG,,default
7373,Q207988,Q3142,colours such,KG,,default
7374,Q5264606,Q182995,Nonetheless still offers,KG,,default
7375,Q190686,Q1071233,is in,KG,,default
7376,Q2979,Q1071233,is in,KG,,default
7377,Q21162272,Q11424,is in,KG,,default
7378,Q183,Q35127,has,KG,,default
7379,Q669700,Q3966,is,KG,,default
7380,Q669700,early,is,Open_KG,tail_,default
7381,Q669700,Q795052,was designed,KG,,default
7382,Q128751,Q3711325,is with,KG,,default
7383,Q15328,rapid intermittent,is with,Open_KG,tail_,default
7384,Kinetograph,rapid intermittent,camera with,Open_KG,head_tail_,default
7385,Q4115667,Q458,is in,KG,,default
7386,Q746801,financially nonviable,initially disdained as,Open_KG,tail_,default
7387,Q669700,Q486902,has,KG,,default
7388,Q3025404,Q42213,is with,KG,,default
7389,Q746801,Q1395034,pursue,KG,,default
7390,Q109,Q1463036,is in,KG,,default
7391,Q478798,Q148442,producing,KG,,default
7392,his,Q3966,zoopraxiscope,Open_KG,head_,default
7393,Q783794,Q465350,'s photographer is,KG,,default
7394,Q783794,Q33231,has,KG,,default
7395,Q483242,Q932601,is in,KG,,default
7396,Q116434,Q5325626,does for,KG,,default
7397,Q836925,Q1459541,is with,KG,,default
7398,it,Q7401,was intended as,Open_KG,head_,default
7399,Q2354539,Q13440398,one of,KG,,default
7400,Q746801,Q131841,conceived,KG,,default
7401,Q746801,Q101965,initiated,KG,,default
7402,Q483242,Q43229,though worked as,KG,,default
7403,Q6467254,assigned,were,Open_KG,tail_,default
7404,Q6467254,Q170584,work on,KG,,default
7405,Q746801,Q189533,participated to,KG,,default
7406,his,Q706371,assistant,Open_KG,head_,default
7407,Q746801,Q131841,has,KG,,default
7408,Q125191,Q218593,1/32 of,KG,,default
7409,Q27318,Q478798,were,KG,,default
7410,Q6293,Q30,is in,KG,,default
7411,Q315,Q47038,is in,KG,,default
7412,employee,Q315,is in,Open_KG,head_,default
7413,Q2642214,Q90,is in,KG,,default
7414,designed,Q11424,strip of,Open_KG,head_,default
7415,Reynaud,Q58778,has,Open_KG,head_,default
7416,Q7924308,Q905296,has,KG,,default
7417,Q4503831,Q148442,thus producing,KG,,default
7418,Q483242,Q3966,working on,KG,,default
7419,Q1381731,Q11019,is in,KG,,default
7420,he,Q11424,demonstration of,Open_KG,head_,default
7421,Q101965,Q207977,is with,KG,,default
7422,Q899022,Q40276,has,KG,,default
7423,Q483242,Q11019,began,KG,,default
7424,Q483242,Q11019,working much later on,KG,,default
7425,his,Q2151113,assistant,Open_KG,head_,default
7426,Q11424,Q1366302,is with,KG,,default
7427,Q651050,Q23856,is In,KG,,default
7428,Q218593,Q37221,is in,KG,,default
7429,It,Q478798,was,Open_KG,head_,default
7430,It,marvelous,was,Open_KG,head_tail_,default
7431,It,Q33767,waved,Open_KG,head_,default
7432,Q79782,perfect,was,Open_KG,tail_,default
7433,Q744,Q41217,part of,KG,,default
7434,Q17525443,Q7401,make coin operation via,KG,,default
7435,Q118,Q218593,from mm is,KG,,default
7436,Q478798,Q1508510,vertically sequenced frame,KG,,default
7437,it,Q573,remains to,Open_KG,head_,default
7438,Q732577,Q7187278,is in,KG,,default
7439,Kinetograph,Q11424,produce movies with,Open_KG,head_,default
7440,Q2025821,Q128367,is in,KG,,default
7441,Q2025821,Q23856,is in,KG,,default
7442,Q796197,Q1200750,has,KG,,default
7443,Q79782,Kinetograph,is in,Open_KG,tail_,default
7444,Q188572,Q218005,is in,KG,,default
7445,Q58778,Q12522,those based,KG,,default
7446,Q28136257,Q58778,publicly shown on,KG,,default
7447,it,Q2354539,directed by,Open_KG,head_,default
7448,it,Q1023646,known as,Open_KG,head_,default
7449,Q23387,Q577,is in,KG,,default
7450,Q1139338,Q2570805,is with,KG,,default
7451,Q18119757,Q84,is in,KG,,default
7452,Q669700,Q1392991,reached,KG,,default
7453,Q5190563,Q39379,is in,KG,,default
7454,Q946103,Q1347572,weight of,KG,,default
7455,Anschütz,Q950472,has,Open_KG,head_,default
7456,Q22305868,Q170584,proceeded on,KG,,default
7457,Q12948581,Q49,is in,KG,,default
7458,Q103184,Q41298,is in,KG,,default
7459,it,as now widely known,is,Open_KG,head_tail_,default
7460,it,as now known,is,Open_KG,head_tail_,default
7461,Q2313156,Sneeze,has,Open_KG,tail_,default
7462,Q55,Q60,is in,KG,,default
7463,Q669700,Q48103,has,KG,,default
7464,its,Q31184,investors,Open_KG,head_,default
7465,Q746801,Q4830453,has,KG,,default
7466,Q746801,Q83476,'s chief is,KG,,default
7467,Q30,Q194195,has,KG,,default
7468,Q7920475,Q1297,is in,KG,,default
7469,Q669700,immediate,was,Open_KG,tail_,default
7470,Q28745083,Q2393776,is with,KG,,default
7471,Q10550521,Q1378975,Entrepreneurs,KG,,default
7472,Q4169,though not uniformly,were largely profitable,Open_KG,tail_,default
7473,Q23387,Q3884033,is in,KG,,default
7474,Q746801,Q4830453,has,KG,,default
7475,Q2672461,Q484497,has,KG,,default
7476,Q669700,Q5151,During,KG,,default
7477,firm,Q728646,has,Open_KG,head_,default
7478,their,Q492313,employer,Open_KG,head_,default
7479,Q170198,Q190109,is in,KG,,default
7480,Q1324888,Q15328,at time is,KG,,default
7481,Q1324888,fps,at time is,Open_KG,tail_,default
7482,Q11574,fps,of time is,Open_KG,tail_,default
7483,Q11574,Q15328,of time is,KG,,default
7484,Q946103,Q748716,been shot at,KG,,default
7485,Q946103,Q2140674,been,KG,,default
7486,Q526826,Q29937289,is in,KG,,default
7487,they,filmstrips,so could manage,Open_KG,head_tail_,default
7488,Q37507,Q37144,is with,KG,,default
7489,Q2597808,Q60,is in,KG,,default
7490,Q161604,Q27889498,see,KG,,default
7491,Q753601,Q543,first recorded instance of,KG,,default
7492,Q2939648,Q39911,star since,KG,,default
7493,Q11424,Q189756,is in,KG,,default
7494,Q11639,Q110,shot in,KG,,default
7495,Q2140674,Q110,is in,KG,,default
7496,her,Q1023646,dance,Open_KG,head_,default
7497,Q3957,Q6128036,'s founder is,KG,,default
7498,Q3957,Q5482740,'s founder is,KG,,default
7499,Q3957,Q26950764,has,KG,,default
7500,he,Q2575002,replaced with,Open_KG,head_,default
7501,disgruntlement,Q1403016,occasioned,Open_KG,head_,default
7502,Q669700,Q19824822,was also gaining notice on,KG,,default
7503,Q54114,Q90,is in,KG,,default
7504,Q11016,Q174165,has,KG,,default
7505,Q746801,Q205375,businessman as,KG,,default
7506,Q191290,Q746801,is with,KG,,default
7507,Q9200,Q42213,has,KG,,default
7508,Q174165,Q15328,is in,KG,,default
7509,Q746801,Q4503831,has,KG,,default
7510,Q478798,Q11461,is with,KG,,default
7511,Kinetophone,Q746801,was early,Open_KG,head_,default
7512,Q11424,Q11461,is with,KG,,default
7513,Q640506,Q116434,included,KG,,default
7514,Q464980,Q118,taken place in,KG,,default
7515,Q34132,Q35140,is with,KG,,default
7516,Q669700,Q1357284,has,KG,,default
7517,everybody,Q3336843,is in,Open_KG,head_,default
7518,Q746801,Q7233420,investigate,KG,,default
7519,He,Q2354539,initiate work without,Open_KG,head_,default
7520,Q1681122,Q746801,is with,KG,,default
7521,Q2354539,Q753297,has,KG,,default
7522,Q3884033,Q26911,has,KG,,default
7523,Q11424,himself,Dickson,Open_KG,tail_,default
7524,their,Q979281,father,Open_KG,head_,default
7525,Q183,Q548320,has,KG,,default
7526,Q746801,Q11016,promoting,KG,,default
7527,Q746801,Q11461,work on,KG,,default
7528,Q2354539,his employ,having left,Open_KG,tail_,default
7529,Q746801,Q577,Departing Vitascope operation after,KG,,default
7530,It,Q1121708,was,Open_KG,head_,default
7531,It,Q1286627,was,Open_KG,head_,default
7532,Q17537576,Q190109,is in,KG,,default
7533,exhibitors,Q768807,very roughly timed,Open_KG,head_,default
7534,Q650462,Q11461,is with,KG,,default
7535,Q2068118,Q650462,is in,KG,,default
7536,Q3196,Q126,is in,KG,,default
7537,Q746801,Q3214444,is in,KG,,default
7538,Q3549379,Q22305868,Edison at,KG,,default
7539,Q35760,Q235038,is with,KG,,default
7540,Q3549379,Q3214444,Edison in,KG,,default
7541,Q1621107,Q25206207,survey of,KG,,default
7542,Q10290214,Q11424,is in,KG,,default
7543,The following,Q10290214,is overview of,Open_KG,head_,default
7544,Q37105,Q37105,crossing,KG,,default
7545,Q1318295,Q11424,is in,KG,,default
7546,Q29017603,Q7390,influence,KG,,default
7547,Q5850078,without seen,being,Open_KG,tail_,default
7548,Q188473,Q33999,is called,KG,,default
7549,Q1459435,Q1371819,of translation is,KG,,default
7550,Q54869047,Q15328,is in,KG,,default
7551,It,Q11424,is also first version of,Open_KG,head_,default
7552,Q205663,Q131395,reflect,KG,,default
7553,it,also called,is,Open_KG,head_tail_,default
7554,Q9128,Q9128,See,KG,,default
7555,Q9128,Q9128,See,KG,,default
7556,Q813911,Q11471,is in,KG,,default
7557,Q4838454,Q33999,backlighting,KG,,default
7558,Q16249242,Q140686,acts as,KG,,default
7559,Q35140,Q11424,is in,KG,,default
7560,Q5113,Q7364,has,KG,,default
7561,Q942297,Q4049121,is in,KG,,default
7562,Q245117,Q4839635,is set against,KG,,default
7563,It,Q82916,is often achieved by,Open_KG,head_,default
7564,It,Q82916,is often achieved by,Open_KG,head_,default
7565,Q759676,Q5025970,is with,KG,,default
7566,Q32483,Q7284699,shot,KG,,default
7567,Q11633,Q209121,science by,KG,,default
7568,Q336,Q214609,sensor by,KG,,default
7569,Q9128,Q209121,science by,KG,,default
7570,Q376,Q65090492,wipe,KG,,default
7571,Q376,close shot close up,wipe,Open_KG,tail_,default
7572,Q20925558,Q188473,has,KG,,default
7573,Q2526255,Q2140674,has,KG,,default
7574,Q1123036,Q2140674,using,KG,,default
7575,Q5,Q11424,start,KG,,default
7576,one,Q1162163,has,Open_KG,head_,default
7577,It,beginning,is long,Open_KG,head_tail_,default
7578,It,beginning,is long,Open_KG,head_tail_,default
7579,Q82794,Q4049121,remainder of,KG,,default
7580,Q11424,Q6422240,has,KG,,default
7581,Q32483,Q11424,is in,KG,,default
7582,Q11424,Q932586,Sometimes used interchangeably with,KG,,default
7583,Q11424,Q178748,is in,KG,,default
7584,Q2140674,Q40050,referring to,KG,,default
7585,Q6777147,Q11469,was so named out,KG,,default
7586,Q2140674,Q11469,is out,KG,,default
7587,Q1400808,Q1329910,point of,KG,,default
7588,Q524080,Q162668,split,KG,,default
7589,Q524080,Q7597282,split,KG,,default
7590,Q131030,Q79782,has,KG,,default
7591,Q1132796,Q7578557,stop,KG,,default
7592,Q11471,Q2140674,tracking,KG,,default
7593,Q41253,Q515,is in,KG,,default
7594,Q204854,Q3491297,is in,KG,,default
7595,Q41253,Q30,is in,KG,,default
7596,Q180712,Q7364,has,KG,,default
7597,Q11424,Q2140674,are,KG,,default
7598,Q11424,Q2140674,are,KG,,default
7599,Q1357284,Q6939,is in,KG,,default
7600,Q11424,a,target,Open_KG,tail_,default
7601,Q853614,Q2114394,is in,KG,,default
7602,Q124490,Q11424,is in,KG,,default
7603,Q11424,Q5155063,threat to,KG,,default
7604,Q11424,Q712514,is in,KG,,default
7605,Q124490,Q1740954,is in,KG,,default
7606,Q215772,Q5422387,popularity of,KG,,default
7607,Q11424,Q1357284,of emergence is,KG,,default
7608,Q81087,Q5051302,has,KG,,default
7609,Q1187804,Q14754876,has,KG,,default
7610,Q1187804,Q14754876,has,KG,,default
7611,Q861670,Q887376,Cinema As,KG,,default
7612,Q1068155,Q23530209,is in,KG,,default
7613,Q81087,Q5051302,has,KG,,default
7614,Q2872572,Q125191,memorabilia,KG,,default
7615,Q62621,Q5327352,was audio,KG,,default
7616,Q62621,Q5327352,was weekly,KG,,default
7617,they,Q62621,believed,Open_KG,head_,default
7618,Q23387,Q11424,has,KG,,default
7619,Q11424,Q62621,be added to,KG,,default
7620,Q11424,Q62621,was voted,KG,,default
7621,Q11424,Q11028,is with,KG,,default
7622,its,on added,being,Open_KG,head_tail_,default
7623,its,added,being,Open_KG,head_tail_,default
7624,Q7186208,Q20539306,is academic,KG,,default
7625,Q56474015,Q20539306,is reviewed,KG,,default
7626,Q7186208,Q20539306,is reviewed,KG,,default
7627,Q56474015,Q20539306,is academic,KG,,default
7628,It,Q664773,is,Open_KG,head_,default
7629,Q737498,Q13582399,contributed to,KG,,default
7630,Q184148,Q11424,is in,KG,,default
7631,Q737498,Q577,was,KG,,default
7632,It,Q189569,is currently edited on,Open_KG,head_,default
7633,Q49700,Q56474015,Index to,KG,,default
7634,Q624852,Q56474015,is in,KG,,default
7635,Q56474015,Philosopher,Index 's,Open_KG,tail_,default
7636,Philosopher,Q63847959,has,Open_KG,head_,default
7637,Q1166770,Q11424,is in,KG,,default
7638,Q478798,Q768575,is with,KG,,default
7639,Q16002448,1861,patented in,Open_KG,tail_,default
7640,It,Q6808424,is larger version of,Open_KG,head_,default
7641,Q11424,Q173253,continues,KG,,default
7642,Q523,Q32483,repeatedly played,KG,,default
7643,Q223770,Q6430706,were often ignored by,KG,,default
7644,Q223770,Q1571829,were inferior to,KG,,default
7645,Q223770,Q6430706,were ignored by,KG,,default
7646,Q11424,Q60753252,is with,KG,,default
7647,Q11424,Q223770,is in,KG,,default
7648,Q11424,Q1260632,is with,KG,,default
7649,Q375336,Q223770,not yet called,KG,,default
7650,Q12769393,1929,is in,Open_KG,tail_,default
7651,Q12769393,Q2632857,is in,KG,,default
7652,them,Q309314,promote instead,Open_KG,head_,default
7653,them,Q309314,promote,Open_KG,head_,default
7654,Q2199864,Q106526,is in,KG,,default
7655,Q42139305,Q5579109,movie of,KG,,default
7656,Q783794,Q17148708,has,KG,,default
7657,Q11707054,Q938381,parallel practice of,KG,,default
7658,Q783794,Q37620527,is with,KG,,default
7659,Q20502,Q515,is in,KG,,default
7660,Q56019,Q8148,product 's,KG,,default
7661,Q8148,Q40276,has,KG,,default
7662,these,Q1349765,were,Open_KG,head_,default
7663,Q744,Q18128727,is in,KG,,default
7664,Q47521,Q735427,low end of,KG,,default
7665,Q56019,Q11032,is in,KG,,default
7666,Q11424,Q56019,has,KG,,default
7667,Q240673,Q11461,introduction of,KG,,default
7668,Q618,Q11424,broad range of,KG,,default
7669,Q199,Q2927152,was headed by,KG,,default
7670,Q652911,Q774682,establish,KG,,default
