,subject,relation,object
5249,complicated middle ending,Characters in,Eccentric cinema
5250,genre,within,directors
5251,messages,creating,controversial debates about political issues
5252,means,explore,politics
5253,political messages,creating,controversial debates about political issues
5254,subtle means,explore,politics
5255,film,due,perceived quirkiness
5256,New American Film.Kim Wilkins,scholar at,University of Oslo
5257,its place,is in,their books
5258,genre,is with,focus on road film
5259,Fox Mayshark,is with,Bachelor from Penn State University
5260,Bachelor,with Mayshark is,editor at New York Times
5261,Fox Mayshark,editor at,New York Times
5262,audience,feel,like part of stories
5263,they,were,like part of stories
5264,They,have,transcendent connection
5265,Independent Spirit Awards,is in,California
5266,commercial studios,’,empires
5267,evolution,other commentators,cultural transition
5268,independent film,is in,In Schmaus ’ evaluation decline
5269,decline,is In,Schmaus ’ evaluation
5270,evolution,commentators,cultural transition
5271,Schmaus,In,evaluation
5272,film,is in,In Schmaus ’ evaluation decline
5273,Heaven 2002,Far Goldmine is,1998
5274,Adaptation Human Nature,Club at_time,1999
5275,2 Days,is in,Valley
5276,2001,Nature at_time,Eternal Sunshine of Spotless Mind Fight Club
5277,Your,Friends,1998
5278,its,namesake,California
5279,its,namesake,Hollywood
5280,film industry,is in,Canada
5281,United States Free Trade Agreement,is in,1988
5282,total value,is in,Canada
5283,Feature Film Industry,is in,British Columbia
5284,filmmaking location,shot in,1910
5285,Cowpuncher,with,Glove
5286,filmmaking location,shot by,Edison Manufacturing Company
5287,shot,is in,1910
5288,Ship,has,Husband
5289,for century,over location is,shot in 1910 by Edison Manufacturing Company
5290,domestic film production communities,is in,Toronto
5291,billion dollar mark,is in,production
5292,246 motion picture projects,is in,2010
5293,film,is in,North America
5294,two largest special effects stages,is in,Canada
5295,declining domestic production,is in,province
5296,third production center,is in,Studios
5297,largest special effects stages,is in,North America
5298,Bridge Studios,is in,Burnaby
5299,Mammoth Studios,subsidiary of,North Shore studios
5300,largest film stages,largest,their
5301,largest film stages,is in,world
5302,largest film stages,largest at,"123,883 sq ft"
5303,production,is in,B.C.
5304,film industry,Great Recession of,late 2000s
5305,it,more competitive for,province
5306,Georgia,% based,minimum investment of 25 % Refundable Tax Credit
5307,Hollywood,from kilometres is,"1,072 mi"
5308,It,is in,also same time zone as Los Angeles
5309,Vancouver,of,production industry
5310,major factor,is in,growth of Vancouver 's production industry
5311,proximity,is major,growth
5312,relative proximity,coupled with,government subsidies
5313,Proximity,access to,filmmaking infrastructure
5314,Proximity,experience of,crews
5315,city,towards,economy
5316,Toronto,has,Film industry
5317,only Canadian province,is With,TOFO
5318,230 film projects,is in,with production spending
5319,largest film production centre,is in,Canada
5320,Ontario,decline in,BC 's domestic production
5321,largest production centre,is in,Canada
5322,BC,in,domestic production
5323,decline,is in,BC 's domestic production
5324,North American cities,is in,total industry production
5325,television programming,is in,North America
5326,increase,is in,revenue
5327,47 % increase,is in,Hollywood productions
5328,47 % increase,is in,2011 over 2010
5329,largest distribution company,is in,Canada
5330,company,is in,world
5331,Alliance Atlantis,company in,Canada
5332,company,is in,Canada
5333,Nelvana,company in,Canada
5334,largest animation children 's entertainment studios,is in,world
5335,Canada 's largest film production complex,is with,"more 250,000 sq ft of production space"
5336,production space,of ft is,"23,000 m2"
5337,Canada,has,"largest film production complex with more 250,000 sq ft of production space"
5338,It,contains,largest purpose built sound stage in North America capable of accommodating large blockbuster movies
5339,early 2010s surge,is in,in province Hollywood productions
5340,22 MOW,has,movies of week
5341,Toronto,has,domestic production industry benefits
5342,international partners.As,is with,Vancouver
5343,stand,is in,film.In addition to productions centre
5344,terms,is in,instances
5345,their Films,is in,Toronto
5346,Canada,to,Walk of Fame
5347,Oscar races begin.Toronto,honouring,notable Canadians
5348,Canada,of,national media outlets including CBC Television
5349,Canadian pioneers,is in,early Hollywood Cinema of Canada
5350,Gasher,Mike at_time,2002
5351,filming locations,is in,British Columbia Interior List of filming locations
5352,filming locations,is in,Vancouver area List of filming locations
5353,filming locations,is in,Toronto List of films shot in Toronto
5354,Hollywood North,Industry in,British Columbia
5355,2004,Industry at_time,Spanner
5356,British Columbia,in Industry is,David
5357,Hollywood North,Industry at_time,2004
5358,Northwest,Michael is at_time,2003
5359,Feature Film Industry,is in,British Columbia
5360,Canadian Content CBC Digital Archives Robert Altman,has,Vancouver Pacific Cinémathèque
5361,Mexico,has,second film
5362,full length documentary,is in,1950
5363,Mexican movies,is in,1940s
5364,Emilio Fernández,by film is,1944
5365,María Félix,Famous actors,Dolores del Río
5366,María Félix,actresses,Dolores del Río
5367,making movies,is with,critical screenplays
5368,light,is in,tropical landscape
5369,important film makers,include,Tomás Gutiérrez Alea
5370,film makers,include,Tomás Gutiérrez Alea
5371,Truce,Secret In,Their Eyes
5372,1992,chocolate at_time,Cronos
5373,Pan,has,Labyrinth 2006
5374,many Argentine movies,produced during,years
5375,prizes,is in,Europe
5376,box office hit,is in,country
5377,comedy film O Auto da Compadecida 2000,was,box office hit in country
5378,Elite Squad,won Golden Bear at,2008 Berlin Film Festival
5379,movement,is in,US
5380,Festival,is,good
5381,major film industries,is in,Latin America
5382,PWC,According,Global Media
5383,"13,464 screens",is in,Latin America
5384,223 films,released in,2018
5385,steady growth,is in,region
5386,interest,is in,animation
5387,Ventana Sur,has,Animation
5388,Mexico,has,Pixelatl festivals
5389,Brazil,has,TV Pinguim
5390,Mexico,’,Ánima Estudios
5391,Latin America,of,biggest animation companies
5392,other animation houses,is in,Latin America
5393,Cinema,is in,Latin America
5394,Conversations,is with,Filmmakers
5395,Social Documentary,is in,Latin America
5396,Visual Synergies,is in,Fiction
5397,Fiction,in Synergies is,Palgrave Macmillan
5398,Cinema,is in,America
5399,Comparative History,University of,California Press
5400,Shorter works,are,listed separately
5401,U.K.,second in,U.S.
5402,two titles,are,When shown for single film
5403,its,period,1947 1979
5404,Films,are,cultural artifacts
5405,Films,are,cultural artifacts created by specific cultures
5406,They,affect,them
5407,Film,be,important
5408,universal power,visual basis of,film
5409,perception,is,psychological called
5410,photographic film,displaying,motion pictures
5411,common term,is in,United States
5412,several earlier traditions,is in,fields such oral storytelling
5413,200 BCE,is in,Central Asia
5414,Experiments,is with,early phenakisticope based animation projectors
5415,advent,is with,early experiments in 1840s since early 1850s
5416,early experiments,is in,1840s
5417,early experiments,with advent is,raised interest in completing
5418,stereoscopic photography,of advent is,raised interest in completing
5419,photographic medium,is with,addition of means to capture
5420,one bioscope disc,has,has preserved in Plateau collection of Ghent University
5421,It,was,commercial
5422,It,has,stereoscopic photographs of machine
5423,Horse,is in,Motion on cabinet cards
5424,battery,is in,line along track
5425,his zoopraxiscope,is in,his lectures
5426,Muybridge,projected,them
5427,longer sequences,is with,separate backgrounds
5428,Musée Grévin,is in,Paris
5429,French brothers,is with,ten of their own productions
5430,admission,using,films produced by their Eidoloscope company
5431,admission,using,films
5432,pictures,were,visual
5433,complete film scores,were composed for,major productions
5434,complete film scores,were,composed
5435,most films,be used for,purpose
5436,innovative work,is in,Birth of Nation
5437,film industry,is in,United States
5438,silent film,already being referred to,to old medium
5439,1935,in film is,Becky Sharp
5440,live action short films,is in,few feature films
5441,entire feature film,is in,1935
5442,few broadcasts,were in,color
5443,color broadcasts,became,common
5444,overwhelming public verdict,is in,favor of color
5445,decline,is in,1960s
5446,changes,is in,production of film
5447,medium,experienced in,latter half of 20th century
5448,Ricciotto Canudo,with,Birth of Sixth Art
5449,film,thus be considered,valid fine art
5450,this,gave rise to,realist theory
5451,film,has,artistic essence
5452,Ferdinand de Saussure,has,semiotics
5453,Jacques Lacan,by,psychoanalysis
5454,film,of,vocabulary
5455,Language Film,have,its own language
5456,Language Film,is,considered
5457,Language Film,have,its language
5458,reflection,life as,dream
5459,sequence,repetition of,this
5460,language,indicate,conversation
5461,speaking actor,followed,right profile
5462,one speaking actor,of,left profile
5463,back images,of sequence is,then repetition
5464,device,is with,ability to place in context of psychologically present through use of visual composition
5465,visual story telling,as theory is,180 degree rule
5466,film,of theory is,180 degree rule
5467,film,during,classical era
5468,overwhelming practice,is in,based Hollywood
5469,together,make,new section of film
5470,filming,is,after complete
5471,filming,is,complete
5472,final version,is called montage with,perhaps different actors
5473,complex juxtaposition,is in,his film
5474,Film criticism Film criticism,evaluation of,films
5475,Film critics,mainly review,new releases
5476,two,formulate,their opinions
5477,audience response,on impact is,especially those of certain genres
5478,important impact,those of,certain genres
5479,action,Mass,horror
5480,critic,by,overall judgment of film
5481,audience interest,Poor reviews,attendance
5482,reviewer,impact of is,matter of debate
5483,given film,on,box office performance
5484,movie marketing,is in,2000s
5485,extreme reactions,have,considerable influence
5486,extreme critical reactions,have,considerable influence
5487,positive film reviews,been,shown
5488,positive film reviews,spark,interest
5489,positive film reviews,spark,interest in little known films
5490,interest,is in,little known films
5491,films,often do poorly as,result
5492,Journalist film critics,are,sometimes called
5493,Journalist film critics,are sometimes called,film reviewers
5494,publishing,is in,film journals
5495,motion picture actors,commanded fees for,their performances
